username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,tweet,hashtags
kinolina,"Seattle-based mobile web developer interested in people, travel, film, culture, language, urban studies, and how tech shapes the way we communicate.",west seattle,5001,2812,60831,2007-04-05 22:05:44,2020-12-08 23:13:38,0,Elon Musk announced he has moved to Texas. The reason is to be able to follow closely the new Tesla factory going up outside of Austin and privately held SpaceX's startship program in the southern part of the state. \\ MarketWatch \\  https://t.co/JxKKm2iHS3,[]
J_B_Maguire,"Retired military (USMCR, ARNG/USAR), finishing grad school in journalism. Catholic, independent conservative, love hockey.",,560,1223,45302,2012-05-19 01:45:56,2020-12-08 23:13:35,62,"Elon Musk confirms he personally relocated to Texas from California, citing California’s regulations on tech companies https://t.co/160pGyDewv https://t.co/6knu3i8tKk",[]
AzzurraSilvy,,,320,1397,246144,2016-07-29 00:59:58,2020-12-08 23:13:32,396,"I'd say the last person to leave Californian should turn out the lights, but I think @GavinNewsom is already working on that.  ""Elon Musk confirms he relocated to Texas from California"" https://t.co/HKmNCuyw3u",[]
ManLeeHood,Evolve Real Estate,"Simi Valley, CA",191,92,34290,2014-11-14 01:01:44,2020-12-08 23:13:32,1,"No, that's not Elon Musk in 'Cyberpunk 2077' - but he may still be in the game https://t.co/eixg8BdZTJ",[]
kadiridapo,Violence is necessary.,"Greenwich, London",3985,1874,161422,2014-03-28 18:14:36,2020-12-08 23:13:32,5,@HazeFoley similar to bill gates and elon musk this 'self-made man' started his life rich and only got richer,[]
joseruiz1297,patience love,,633,489,28125,2012-04-30 22:29:41,2020-12-08 23:13:32,0,"If Elon Musk sees this, can I get a Tesla Model S for Christmas 🥲",[]
BobCarter385761,Just another viewpoint. History/astronomy/politics/education/music/tennis/USAF 🌊🌊,The Palmetto State-Charleston,5481,5102,126093,2016-06-13 00:40:41,2020-12-08 23:13:31,0,"https://t.co/FCVBEh9Chs ++ Elon Musk. Bye, bye California. You blew it. BC",[]
JackSpa02586314,,"Bloomingdale, FL",131,92,18795,2018-01-09 00:50:22,2020-12-08 23:13:17,396,"I'd say the last person to leave Californian should turn out the lights, but I think @GavinNewsom is already working on that.  ""Elon Musk confirms he relocated to Texas from California"" https://t.co/HKmNCuyw3u",[]
ram_saucy,Shine on you crazy diamond,,590,226,8759,2015-07-01 17:05:54,2020-12-08 23:13:17,267,Elon Musk Is Moving His Operations From California To Texas And Taking His Hundreds Of Millions In Tax Revenue With Him https://t.co/RHCe0gFXLz https://t.co/rcRTWPhfXC,[]
WhyTesla15,"$TSLA Addict, Bull, Shareholder",,194,133,2312,2020-09-21 17:50:05,2020-12-08 23:13:09,14,"Wow, this is a great interview by @elonmusk by WSJ.

Lots of talk of product focus and priorities.

https://t.co/16eSwXdzNW",[]
tweedsley,XRP will be the global bridge for money transfer. I’m not a financial advisor.   Fasting will improve your brain and body. I’m not a medical professional.,"Arizona, USA",80,203,6824,2019-08-14 17:59:17,2020-12-08 23:13:08,0,"BREAKING: Elon Musk is a badass

Be like Elon https://t.co/f02lmRYQl4",[]
Freediscours,,,756,241,816,2009-05-06 00:29:08,2020-12-08 23:13:07,0,"@Fresno_Chamber Based on his recent orders... look at business leaving the state

https://t.co/rpwTqkOc5B",[]
hannon_bev,,"Marion, IA",384,163,42547,2014-10-03 22:11:19,2020-12-08 23:13:01,1,"Elon Musk confirms: 'Yes, I have moved to Texas' - CNBC https://t.co/0Hk5cJpF1Q via @GoogleNews",[]
